2023-12-23 13:58:43.2965 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:58:43.5858 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:58:43.6275 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:58:43.6530 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:58:43.6530 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:58:43.7130 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:58:43.8531 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:02:14.7702 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:02:15.0574 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:02:15.0999 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:02:15.1235 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:02:15.1235 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:02:15.1815 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:02:15.3224 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:04:27.2327 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:04:27.4566 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:04:27.5065 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:04:27.5338 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:04:27.5338 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:04:27.6037 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:04:27.7595 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:11:39.0250 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:11:39.2525 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:11:39.2975 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:11:39.3254 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:11:39.3254 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:11:39.3924 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:11:39.5369 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:12:45.6040 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:12:45.8586 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:12:45.8991 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:12:45.9237 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:12:45.9237 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:12:45.9868 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:12:46.1842 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:20:53.0267 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:20:53.2879 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:20:53.3374 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:20:53.3696 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:20:53.3696 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:20:53.4440 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:20:53.6456 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:21:30.0089 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:21:30.2669 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:21:30.3192 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:21:30.3505 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:21:30.3505 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:21:30.4279 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:21:30.6194 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:22:08.9360 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:22:09.1841 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:22:09.2381 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:22:09.2689 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:22:09.2689 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:22:09.3406 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:22:09.5299 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:26:08.6751 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:26:08.9522 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:26:09.0180 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 14:26:09.0494 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:26:09.0494 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:26:09.1297 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:26:09.3300 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 14:31:52.9318 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 14:31:53.1265 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 14:31:53.1671 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
